"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14505","Orange HRM Application Login with invalid JSON Data","chromium","Thu Jan 30 21:42:46 IST 2025","failed","Thu Jan 30 21:43:01 IST 2025","","orangeJsonHrmTestData.spec.js","",""
"","10163","Orange HRM Application Login with valid JSON Data","chromium","Thu Jan 30 21:42:46 IST 2025","passed","Thu Jan 30 21:42:56 IST 2025","","orangeJsonHrmTestData.spec.js","",""
